TRATAMENTOS,REP,COL,CERC,FERR,
CALDA,8,2,0,0,
CALDA,9,2,1,0,
CALDA,10,2,2,1,
CALDA,11,2,0,1,
CALDA,12,2,0,0,
CALDA,13,2,0,0,
CALDA,14,2,0,0,
CALDA,15,2,1,0,
CALDA,16,2,0,0,
CALDA,17,2,0,1,
CALDA,18,2,1,1,
CALDA,19,2,0,1,
CALDA,20,2,0,0,
CALDA,21,2,0,0,
CALDA,22,2,1,2,
CALDA,23,2,0,0,
CALDA,24,2,0,0,
CALDA,25,2,0,0,
CALDA,26,2,0,0,
CALDA,27,2,0,0,
CALDA,28,2,0,0,
CALDA,29,2,1,3,
CALDA,30,2,0,1,
CALDA,31,2,0,1,
CALDA,32,2,0,0,
CALDA,33,2,1,1,
CALDA,34,2,1,0,
CALDA,35,2,1,0,
CALDA,36,2,0,1,
CALDA,37,2,0,0,
CALDA,38,2,1,0,
CALDA,39,2,1,0,
CALDA,40,2,0,0,
CALDA,41,2,1,0,
CALDA,42,2,0,1,
CALDA,43,2,1,1,
CALDA,44,2,2,0,
CALDA,45,2,0,0,
CALDA,46,2,1,0,
CALDA,47,2,2,0,
CALDA,48,2,1,2,
CALDA,49,2,2,0,
CALDA,50,2,1,0,
CALDA,51,2,0,0,
CALDA,52,2,1,3,
CALDA,53,2,0,1,
CALDA,54,2,1,0,
CALDA,55,2,2,0,
CALDA,56,2,1,2,
CALDA,57,2,0,1,
CALDA,58,2,0,0,
CALDA,59,2,0,0,
CALDA,60,2,0,0,
CALDA,61,2,0,1,
CALDA,62,2,0,0,
CALDA,63,2,1,0,
CALDA,64,2,0,0,
CALDA,65,2,0,0,
CALDA,66,2,0,2,
CALDA,67,2,0,0,
CALDA,68,2,1,4,
CALDA,69,2,0,0,
CALDA,70,2,1,1,
CALDA,71,2,0,0,
CALDA,72,2,0,0,
CALDA,73,2,0,0,
CALDA,74,2,0,0,
CALDA,75,2,0,0,
CALDA,76,2,2,0,
CALDA,77,2,1,1,
CALDA,78,2,0,2,
CALDA,79,2,0,3,
CALDA,80,2,1,3,
CALDA,81,2,0,3,
CALDA,82,2,0,2,
CALDA,83,2,1,1,
CALDA,84,2,0,1,
CALDA,85,2,1,1,
CALDA,86,2,0,1,
CALDA,87,2,0,0,
CALDA,88,2,1,0,
CALDA,89,2,0,2,
CALDA,90,2,0,1,
CALDA,91,2,1,2,
CALDA,92,2,0,1,
CALDA,93,2,0,2,
CALDA,94,2,0,1,
CALDA,95,2,0,1,
CALDA,96,2,0,0,
CALDA,97,2,0,1,
CALDA,98,2,0,1,
CALDA,99,2,0,0,
CALDA,100,2,0,2,
CONTR,1,3,1,0,
