Tratamentos,REP,COL,CERC,FERR
CALDA,84,2,1,2
CALDA,85,2,2,2
CALDA,86,2,1,2
CALDA,87,2,1,1
CALDA,88,2,2,1
CALDA,89,2,1,3
CALDA,90,2,1,2
CALDA,91,2,2,3
CALDA,92,2,1,2
CALDA,93,2,1,3
CALDA,94,2,1,2
CALDA,95,2,1,2
CALDA,96,2,1,1
CALDA,97,2,1,2
CALDA,98,2,1,2
CALDA,99,2,1,1
CALDA,100,2,1,3
CONTR,1,3,2,1
CONTR,2,3,2,2
CONTR,3,3,1,1
CONTR,4,3,1,1
CONTR,5,3,1,1
CONTR,6,3,1,3
CONTR,7,3,3,2
CONTR,8,3,2,3
CONTR,9,3,2,2
CONTR,10,3,1,1
CONTR,11,3,2,2
CONTR,12,3,2,2
CONTR,13,3,1,2
CONTR,14,3,2,3
CONTR,15,3,1,2
CONTR,16,3,2,1
CONTR,17,3,1,2
CONTR,18,3,4,2
CONTR,19,3,1,2
CONTR,20,3,1,1
CONTR,21,3,1,2
CONTR,22,3,3,1
CONTR,23,3,1,2
CONTR,24,3,1,2
CONTR,25,3,2,1
CONTR,26,3,1,1
CONTR,27,3,1,2
CONTR,28,3,2,1
CONTR,29,3,1,2
CONTR,30,3,1,2
CONTR,31,3,1,1
CONTR,32,3,1,2
CONTR,33,3,2,1
CONTR,34,3,1,2
CONTR,35,3,1,1
CONTR,36,3,2,2
CONTR,37,3,3,1
CONTR,38,3,1,2
CONTR,39,3,1,1
CONTR,40,3,1,2
CONTR,41,3,1,1
CONTR,42,3,2,3
CONTR,43,3,1,2
CONTR,44,3,2,2
CONTR,45,3,1,2
CONTR,46,3,3,4
CONTR,47,3,2,1
CONTR,48,3,1,2
CONTR,49,3,1,2
CONTR,50,3,2,1
CONTR,51,3,1,3
CONTR,52,3,1,2
CONTR,53,3,2,3
CONTR,54,3,2,2
CONTR,55,3,1,2
CONTR,56,3,3,3
CONTR,57,3,2,2
CONTR,58,3,2,3
CONTR,59,3,2,1
CONTR,60,3,2,2
CONTR,61,3,1,2
CONTR,62,3,2,2
CONTR,63,3,1,2
CONTR,64,3,3,2
CONTR,65,3,2,2
CONTR,66,3,1,2
CONTR,67,3,1,2
CONTR,68,3,3,4
CONTR,69,3,2,3
CONTR,70,3,2,3
CONTR,71,3,2,2
CONTR,72,3,3,3
CONTR,73,3,2,3
CONTR,74,3,2,2
CONTR,75,3,3,3
CONTR,76,3,2,2
CONTR,77,3,3,2
CONTR,78,3,2,2
CONTR,79,3,2,3
CONTR,80,3,3,4
CONTR,81,3,1,2
CONTR,82,3,1,3
CONTR,83,3,1,2
CONTR,84,3,1,2
CONTR,85,3,2,3
CONTR,86,3,2,2
CONTR,87,3,1,3
CONTR,88,3,1,2
CONTR,89,3,1,2
CONTR,90,3,1,2
CONTR,91,3,1,2
CONTR,92,3,1,2
CONTR,93,3,2,2
CONTR,94,3,3,3
CONTR,95,3,3,2
CONTR,96,3,1,1
CONTR,97,3,1,1
CONTR,98,3,1,2
CONTR,99,3,1,2
CONTR,100,3,2,2
CALDA,1,3,2,2
CALDA,2,3,2,2
CALDA,3,3,1,1
CALDA,4,3,1,2
CALDA,5,3,1,1
CALDA,6,3,2,1
CALDA,7,3,1,1
CALDA,8,3,1,1
CALDA,9,3,2,2
CALDA,10,3,1,2
CALDA,11,3,3,3
CALDA,12,3,1,2
CALDA,13,3,1,1
CALDA,14,3,1,2
CALDA,15,3,2,2
CALDA,16,3,2,3
CALDA,17,3,1,1
CALDA,18,3,2,2
CALDA,19,3,2,2
CALDA,20,3,1,1
CALDA,21,3,2,3
CALDA,22,3,2,3
CALDA,23,3,2,2
CALDA,24,3,1,2
CALDA,25,3,2,3
CALDA,26,3,1,3
CALDA,27,3,2,3
CALDA,28,3,1,2
CALDA,29,3,1,3
CALDA,30,3,3,3
CALDA,31,3,1,1
CALDA,32,3,1,2
CALDA,33,3,2,2
CALDA,34,3,1,2
CALDA,35,3,2,1
CALDA,36,3,1,2
CALDA,37,3,1,2
CALDA,38,3,2,2
CALDA,39,3,1,1
CALDA,40,3,2,2
CALDA,41,3,1,2
CALDA,42,3,1,1
CALDA,43,3,1,2
CALDA,44,3,1,2
CALDA,45,3,1,1
CALDA,46,3,1,1
CALDA,47,3,2,2
CALDA,48,3,2,1
CALDA,49,3,2,1
CALDA,50,3,2,1
CALDA,51,3,1,2
CALDA,52,3,1,2
CALDA,53,3,1,1
CALDA,54,3,2,1
CALDA,55,3,1,1
CALDA,56,3,1,1
CALDA,57,3,1,1
CALDA,58,3,1,2
CALDA,59,3,2,1
CALDA,60,3,1,2
CALDA,61,3,1,1
CALDA,62,3,1,3
CALDA,63,3,1,1
CALDA,64,3,1,3
CALDA,65,3,1,1
CALDA,66,3,1,3
CALDA,67,3,1,2
CALDA,68,3,2,1
CALDA,69,3,2,3
CALDA,70,3,1,2
CALDA,71,3,1,3
CALDA,72,3,1,2
CALDA,73,3,1,1
CALDA,74,3,3,2
CALDA,75,3,2,4
CALDA,76,3,1,2
CALDA,77,3,2,5
CALDA,78,3,1,2
CALDA,79,3,1,2
CALDA,80,3,3,1
CALDA,81,3,1,2
CALDA,82,3,1,2
CALDA,83,3,1,2
CALDA,84,3,1,1
CALDA,85,3,2,3
CALDA,86,3,1,2
CALDA,87,3,2,3
CALDA,88,3,1,2
CALDA,89,3,2,1
CALDA,90,3,1,1
CALDA,91,3,2,2
CALDA,92,3,2,4
CALDA,93,3,2,2
CALDA,94,3,1,2
CALDA,95,3,1,3
CALDA,96,3,2,3
CALDA,97,3,2,2
CALDA,98,3,1,1
CALDA,99,3,1,4
CALDA,100,3,1,2
CONTR,1,4,1,2
CONTR,2,4,1,2
CONTR,3,4,2,1
CONTR,4,4,1,3
CONTR,5,4,1,1
CONTR,6,4,4,1
CONTR,7,4,1,2
CONTR,8,4,1,1
CONTR,9,4,1,1
CONTR,10,4,4,3
CONTR,11,4,2,2
CONTR,12,4,2,1
CONTR,13,4,1,1
CONTR,14,4,1,3
CONTR,15,4,1,1
CONTR,16,4,1,1
CONTR,17,4,2,2
CONTR,18,4,1,1
CONTR,19,4,2,1
CONTR,20,4,2,3
CONTR,21,4,1,2
CONTR,22,4,1,2
CONTR,23,4,3,1
CONTR,24,4,2,3
CONTR,25,4,1,2
CONTR,26,4,2,2
CONTR,27,4,2,1
CONTR,28,4,2,1
CONTR,29,4,2,3
CONTR,30,4,1,1
CONTR,31,4,3,3
CONTR,32,4,1,1
CONTR,33,4,1,1
CONTR,34,4,1,2
CONTR,35,4,1,4
CONTR,36,4,1,2
CONTR,37,4,3,3
CONTR,38,4,2,2
CONTR,39,4,1,2
CONTR,40,4,1,2
CONTR,41,4,1,2
CONTR,42,4,2,2
CONTR,43,4,1,1
CONTR,44,4,2,1
CONTR,45,4,2,4
CONTR,46,4,1,1
CONTR,47,4,1,1
CONTR,48,4,1,2
CONTR,49,4,2,3
CONTR,50,4,2,3
CONTR,51,4,2,1
CONTR,52,4,1,3
CONTR,53,4,1,2
CONTR,54,4,2,1
CONTR,55,4,3,3
CONTR,56,4,1,2
CONTR,57,4,2,3
CONTR,58,4,2,2
CONTR,59,4,1,1
CONTR,60,4,1,3
CONTR,61,4,1,2
CONTR,62,4,2,2
CONTR,63,4,3,3
CONTR,64,4,2,4
CONTR,65,4,3,3
CONTR,66,4,1,1
CONTR,67,4,2,2
CONTR,68,4,1,2
CONTR,69,4,1,2
CONTR,70,4,4,3
CONTR,71,4,1,2
CONTR,72,4,2,2
CONTR,73,4,2,3
CONTR,74,4,1,3
CONTR,75,4,1,2
CONTR,76,4,2,3
CONTR,77,4,1,3
CONTR,78,4,1,2
CONTR,79,4,1,2
CONTR,80,4,1,2
CONTR,81,4,1,2
CONTR,82,4,1,1
CONTR,83,4,1,1
CONTR,84,4,3,3
CONTR,85,4,1,2
CONTR,86,4,1,2
CONTR,87,4,1,2
CONTR,88,4,2,3
CONTR,89,4,1,1
CONTR,90,4,2,1
CONTR,91,4,2,2
CONTR,92,4,2,3
CONTR,93,4,1,2
CONTR,94,4,1,1
CONTR,95,4,2,1
CONTR,96,4,2,1
CONTR,97,4,3,2
CONTR,98,4,1,1
CONTR,99,4,3,2
CONTR,100,4,1,3
CALDA,1,4,3,3
CALDA,2,4,1,2
CALDA,3,4,1,1
CALDA,4,4,1,2
CALDA,5,4,2,2
CALDA,6,4,1,1
CALDA,7,4,1,1
CALDA,8,4,3,1
CALDA,9,4,2,1
CALDA,10,4,2,2
CALDA,11,4,2,1
CALDA,12,4,1,1
CALDA,13,4,1,2
CALDA,14,4,1,1
CALDA,15,4,1,1
CALDA,16,4,4,2
CALDA,17,4,2,1
CALDA,18,4,1,1
CALDA,19,4,3,2
CALDA,20,4,2,2
CALDA,21,4,2,1
CALDA,22,4,1,1
CALDA,23,4,1,1
CALDA,24,4,1,1
CALDA,25,4,1,2
CALDA,26,4,1,2
CALDA,27,4,1,1
CALDA,28,4,2,3
CALDA,29,4,2,2
CALDA,30,4,2,3
CALDA,31,4,1,1
CALDA,32,4,1,1
CALDA,33,4,1,1
CALDA,34,4,2,2
CALDA,35,4,2,2
CALDA,36,4,1,2
CALDA,37,4,1,1
CALDA,38,4,1,1
CALDA,39,4,1,1
CALDA,40,4,1,3
CALDA,41,4,1,1
CALDA,42,4,1,2
CALDA,43,4,1,1
CALDA,44,4,2,2
CALDA,45,4,1,1
CALDA,46,4,1,2
CALDA,47,4,2,2
CALDA,48,4,1,1
CALDA,49,4,1,2
CALDA,50,4,1,3
CALDA,51,4,1,1
CALDA,52,4,1,1
CALDA,53,4,1,1
CALDA,54,4,2,2
CALDA,55,4,1,1
CALDA,56,4,2,2
CALDA,57,4,2,2
CALDA,58,4,1,1
CALDA,59,4,2,1
